Industry,Gender,Education,AgeGroup,Wage_Yen,Employees
Mining and quarrying of stone and gravel,Male,JuniorHigh,0-19,,
Mining and quarrying of stone and gravel,Male,JuniorHigh,20-24,192500,0
Mining and quarrying of stone and gravel,Male,JuniorHigh,25-29,254200,20
Mining and quarrying of stone and gravel,Male,JuniorHigh,30-34,269500,40
Mining and quarrying of stone and gravel,Male,JuniorHigh,35-39,299300,40
Mining and quarrying of stone and gravel,Male,JuniorHigh,40-44,284600,50
Mining and quarrying of stone and gravel,Male,JuniorHigh,45-49,279500,150
Mining and quarrying of stone and gravel,Male,JuniorHigh,50-54,320800,120
Mining and quarrying of stone and gravel,Male,JuniorHigh,55-59,302600,80
Mining and quarrying of stone and gravel,Male,JuniorHigh,60-64,273900,90
Mining and quarrying of stone and gravel,Male,JuniorHigh,65-69,269300,110
Mining and quarrying of stone and gravel,Male,JuniorHigh,70+,267200,60
Mining and quarrying of stone and gravel,Male,HighSchool,0-19,199800,70
Mining and quarrying of stone and gravel,Male,HighSchool,20-24,225600,220
Mining and quarrying of stone and gravel,Male,HighSchool,25-29,255300,300
Mining and quarrying of stone and gravel,Male,HighSchool,30-34,281900,360
Mining and quarrying of stone and gravel,Male,HighSchool,35-39,312000,380
Mining and quarrying of stone and gravel,Male,HighSchool,40-44,319400,590
Mining and quarrying of stone and gravel,Male,HighSchool,45-49,342400,680
Mining and quarrying of stone and gravel,Male,HighSchool,50-54,342800,870
Mining and quarrying of stone and gravel,Male,HighSchool,55-59,348500,980
Mining and quarrying of stone and gravel,Male,HighSchool,60-64,312800,760
Mining and quarrying of stone and gravel,Male,HighSchool,65-69,271600,380
Mining and quarrying of stone and gravel,Male,HighSchool,70+,234000,230
Mining and quarrying of stone and gravel,Male,VocationalSchool,0-19,,
Mining and quarrying of stone and gravel,Male,VocationalSchool,20-24,240900,20
Mining and quarrying of stone and gravel,Male,VocationalSchool,25-29,273500,30
Mining and quarrying of stone and gravel,Male,VocationalSchool,30-34,285800,20
Mining and quarrying of stone and gravel,Male,VocationalSchool,35-39,318300,20
Mining and quarrying of stone and gravel,Male,VocationalSchool,40-44,323000,50
Mining and quarrying of stone and gravel,Male,VocationalSchool,45-49,340100,60
Mining and quarrying of stone and gravel,Male,VocationalSchool,50-54,381400,70
Mining and quarrying of stone and gravel,Male,VocationalSchool,55-59,373800,50
Mining and quarrying of stone and gravel,Male,VocationalSchool,60-64,327200,50
Mining and quarrying of stone and gravel,Male,VocationalSchool,65-69,296800,10
Mining and quarrying of stone and gravel,Male,VocationalSchool,70+,230700,0
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,0-19,,
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,20-24,251200,20
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,25-29,258500,20
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,30-34,272000,20
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,35-39,220800,10
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,40-44,352800,50
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,45-49,390800,30
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,50-54,406600,20
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,55-59,665900,0
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,60-64,336300,10
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,65-69,415000,10
Mining and quarrying of stone and gravel,Male,TechnicalSchoolJuniorCollege,70+,,
Mining and quarrying of stone and gravel,Male,University,0-19,,
Mining and quarrying of stone and gravel,Male,University,20-24,277100,80
Mining and quarrying of stone and gravel,Male,University,25-29,305700,160
Mining and quarrying of stone and gravel,Male,University,30-34,332200,140
Mining and quarrying of stone and gravel,Male,University,35-39,412900,190
Mining and quarrying of stone and gravel,Male,University,40-44,494000,160
Mining and quarrying of stone and gravel,Male,University,45-49,618900,200
Mining and quarrying of stone and gravel,Male,University,50-54,742700,230
Mining and quarrying of stone and gravel,Male,University,55-59,724700,210
Mining and quarrying of stone and gravel,Male,University,60-64,605200,180
Mining and quarrying of stone and gravel,Male,University,65-69,380000,50
Mining and quarrying of stone and gravel,Male,University,70+,258000,30
Mining and quarrying of stone and gravel,Female,JuniorHigh,0-19,,
Mining and quarrying of stone and gravel,Female,JuniorHigh,20-24,236600,0
Mining and quarrying of stone and gravel,Female,JuniorHigh,25-29,,
Mining and quarrying of stone and gravel,Female,JuniorHigh,30-34,,
Mining and quarrying of stone and gravel,Female,JuniorHigh,35-39,186400,0
Mining and quarrying of stone and gravel,Female,JuniorHigh,40-44,298100,10
Mining and quarrying of stone and gravel,Female,JuniorHigh,45-49,579500,10
Mining and quarrying of stone and gravel,Female,JuniorHigh,50-54,288500,0
Mining and quarrying of stone and gravel,Female,JuniorHigh,55-59,171200,0
Mining and quarrying of stone and gravel,Female,JuniorHigh,60-64,,
Mining and quarrying of stone and gravel,Female,JuniorHigh,65-69,153300,10
Mining and quarrying of stone and gravel,Female,JuniorHigh,70+,210000,0
Mining and quarrying of stone and gravel,Female,HighSchool,0-19,226700,10
Mining and quarrying of stone and gravel,Female,HighSchool,20-24,230500,40
Mining and quarrying of stone and gravel,Female,HighSchool,25-29,208000,30
Mining and quarrying of stone and gravel,Female,HighSchool,30-34,228800,30
Mining and quarrying of stone and gravel,Female,HighSchool,35-39,248100,20
Mining and quarrying of stone and gravel,Female,HighSchool,40-44,278500,100
